Date,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Deliverable Volume,%Deliverble
26-05-2008,898,898,551.35,600.25,604.75,624.61,3972485,2.48124E+14,1202933,0.3028
27-05-2008,624.7,639,580.3,595.5,593.15,606.43,1751063,1.0619E+14,369389,0.211
28-05-2008,561.65,621.9,561.65,605.1,608.15,608.75,1652355,1.00588E+14,898602,0.5438
29-05-2008,619.4,619.4,576,600,599.45,600.98,669269,4.02217E+13,449951,0.6723
30-05-2008,605.4,607,538,576.25,571.7,565.55,1262117,7.13794E+13,936432,0.742
02-06-2008,605.5,615,570.7,573,580.8,598.3,206640,1.23633E+13,69415,0.3359
03-06-2008,596,602,555.15,577,579.7,575.83,157283,9.0568E+12,106984,0.6802
04-06-2008,597.85,597.85,547.5,550,552.1,563.64,326450,1.83999E+13,238952,0.732
05-06-2008,553,588.8,532.4,548,562.4,560.7,238915,1.3396E+13,140638,0.5887
06-06-2008,567,574.7,544.4,572,568.8,564.38,73920,4.1719E+12,35676,0.4826
09-06-2008,575,575,524,552,548.8,545.82,321199,1.75318E+13,267438,0.8326
10-06-2008,575.5,575.5,547,550,550.4,551.58,58118,3.20567E+12,42432,0.7301
11-06-2008,560,560,528,528.2,530.5,536.09,87793,4.70647E+12,55519,0.6324
12-06-2008,511,527,510.7,520,519.45,518.85,50729,2.63206E+12,35708,0.7039
13-06-2008,514.25,525,501.2,508,505.9,508.57,123934,6.30292E+12,98980,0.7987
16-06-2008,510,518,489.45,491.8,494.65,503.45,61592,3.10082E+12,38141,0.6193
17-06-2008,490.45,510,482.6,505,506.7,500.42,71476,3.57679E+12,27522,0.3851
18-06-2008,510.1,531,500,514.95,516.45,514.41,105505,5.4273E+12,52716,0.4997
19-06-2008,500.2,527,500.2,507.65,512.55,516.94,140483,7.26215E+12,93934,0.6687
20-06-2008,507,519,493.6,515,512.1,506.49,76656,3.88253E+12,53866,0.7027
23-06-2008,500,514.9,499,499,502.3,503.85,89888,4.52903E+12,64252,0.7148
