Date,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Deliverable Volume,%Deliverble
28-12-2012,200,200.85,188.65,191,191.65,194.06,35351056,6.8601E+14,12889842,0.3646
31-12-2012,191.85,195.5,188.25,193.65,193.7,193.51,6021827,1.16526E+14,2405884,0.3995
01-01-2013,194.7,199.8,194,197.65,197.75,197.64,2619486,5.17716E+13,463798,0.1771
02-01-2013,198.3,204.35,197,202.2,201.5,200.96,5470399,1.09931E+14,1864671,0.3409
03-01-2013,200,206.5,200,204.7,204.35,204.11,3626134,7.40114E+13,1996559,0.5506
04-01-2013,205,210,202.35,207,207.15,207.22,4188477,8.67928E+13,2676489,0.639
07-01-2013,207.85,209,206.1,207,207.4,207.99,2632614,5.47552E+13,1713868,0.651
08-01-2013,207.55,211.05,201.7,203.2,202.95,206.18,1310534,2.70205E+13,567152,0.4328
09-01-2013,204.25,207.9,203.3,204.95,205.05,205.71,1316038,2.70725E+13,772604,0.5871
10-01-2013,205,207,203,205,205.1,204.98,1061770,2.1764E+13,788799,0.7429
11-01-2013,204.4,206.8,203.6,205,205.45,205.04,560597,1.14944E+13,393312,0.7016
14-01-2013,205.2,208.25,202.9,208,207.8,206.23,440016,9.07436E+12,296760,0.6744
15-01-2013,207.95,208.65,204,205.9,205.25,206,308822,6.36173E+12,141542,0.4583
16-01-2013,205.85,210,202.5,206.65,204.4,206.26,522978,1.07871E+13,233053,0.4456
17-01-2013,206.6,207.7,204.2,205,204.95,205.92,1583997,3.26182E+13,1334349,0.8424
18-01-2013,206.35,206.65,204.1,205.5,205,205.12,1219799,2.50206E+13,1102809,0.9041
21-01-2013,206.85,207.5,204.5,205,205.05,205.02,599417,1.22891E+13,563492,0.9401
22-01-2013,205.1,206.35,204.15,205.05,205.05,205.03,645165,1.32278E+13,599187,0.9287
23-01-2013,205,205.15,203.15,204.05,204.6,204.79,632500,1.29529E+13,588493,0.9304
24-01-2013,204.65,210.4,204.55,205.25,206.1,205.51,1658900,3.40913E+13,1423642,0.8582
25-01-2013,206.95,209.5,204.65,209.5,208.3,205.92,446416,9.19238E+12,356043,0.7976
28-01-2013,209,211.5,208,209.8,210.3,209.8,619340,1.29941E+13,502997,0.8122
29-01-2013,210.65,216,210,212.9,212.15,213.28,1297700,2.76774E+13,986290,0.76
30-01-2013,215,215,208.1,209.85,209.95,209.87,1254754,2.63334E+13,1135593,0.905
31-01-2013,209.85,211.25,201,202.25,204.25,206.28,477136,9.84257E+12,236678,0.496
01-02-2013,202.25,210.9,202.25,206.5,206,206.1,535714,1.10411E+13,435291,0.8125
04-02-2013,208.75,211,206.35,209.9,209.95,209.71,972954,2.04034E+13,793933,0.816
05-02-2013,208.9,211.9,207.45,210,209.85,210.05,310499,6.52217E+12,242416,0.7807
06-02-2013,210.25,211.5,209.25,209.95,210,210.07,1068489,2.24457E+13,1003753,0.9394
07-02-2013,210.85,210.85,207,207.95,207.55,208.23,55628,1.15836E+12,30354,0.5457
08-02-2013,207.95,208.75,204.45,205.85,206.95,206.97,1147102,2.37413E+13,1107619,0.9656
11-02-2013,201.15,207.4,201.15,203.2,203.35,204.26,56809,1.16039E+12,34370,0.605
12-02-2013,203.05,204.6,195,200,200.35,199.68,164404,3.28282E+12,94240,0.5732
13-02-2013,202.65,202.65,194.45,194.5,195.1,196.7,294907,5.80096E+12,229781,0.7792
14-02-2013,195.1,195.55,191.5,191.5,192.8,193.52,192159,3.71866E+12,144290,0.7509
15-02-2013,192.8,192.8,181.95,187,188.15,186.69,891987,1.66526E+13,769554,0.8627
18-02-2013,188,192.7,186.7,191.95,191.9,191.35,820340,1.56973E+13,784589,0.9564
19-02-2013,197.25,197.25,190.1,191,191.6,191.48,38966,7.46135E+11,17695,0.4541
20-02-2013,193.95,197,192.35,195.65,196.05,195.21,214534,4.18793E+12,143775,0.6702
21-02-2013,196.4,197,194.15,194.95,194.8,195.23,217043,4.23737E+12,153796,0.7086
22-02-2013,195.9,195.9,188,193,191.6,190.41,685089,1.30445E+13,610815,0.8916
25-02-2013,199,199,188.75,192.95,192.05,192.29,770743,1.48205E+13,698073,0.9057
26-02-2013,191.15,193.5,189.4,192,192.05,191.27,324124,6.19958E+12,232702,0.7179
27-02-2013,196.85,196.85,175.55,183.75,184.55,189.41,1815408,3.43856E+13,1616726,0.8906
28-02-2013,185,194.9,185,192,191.9,190.87,3208335,6.12383E+13,2646316,0.8248
01-03-2013,181,194.65,181,191.1,190.8,190.2,1026599,1.95255E+13,900653,0.8773
04-03-2013,187.75,192.85,187.75,192.85,192.25,191.42,134278,2.57034E+12,111697,0.8318
05-03-2013,194.9,196.6,191.05,196,195.6,194.17,421920,8.1923E+12,342279,0.8112
06-03-2013,196.55,197.95,194.3,194.35,196.95,196.93,1128179,2.22176E+13,1071301,0.9496
07-03-2013,196.9,197.5,193.1,194.75,195.95,195.85,255566,5.00516E+12,212412,0.8311
08-03-2013,195.4,197.45,191.5,193,193.7,194.73,237353,4.62189E+12,199580,0.8409
11-03-2013,193.7,194,189.9,191.65,193.3,193.39,389005,7.52283E+12,356350,0.9161
12-03-2013,192.5,193.85,189.3,189.3,189.85,191.09,416693,7.96264E+12,360810,0.8659
13-03-2013,188.05,191.6,188.05,189.75,189.9,190.69,579140,1.10435E+13,497480,0.859
14-03-2013,152.3,191.75,152.3,189.7,189.8,189.45,104780,1.98506E+12,76772,0.7327
15-03-2013,190,190.4,184.1,185.5,185.1,185.65,174015,3.23052E+12,120896,0.6947
18-03-2013,186.9,186.9,179.65,183,183.5,183.18,101719,1.86327E+12,63929,0.6285
19-03-2013,185,185.8,180.1,182,181.9,181.5,296981,5.39021E+12,202075,0.6804
20-03-2013,181.9,184.7,176.15,180,179.9,178.62,560531,1.00124E+13,505851,0.9024
21-03-2013,178.5,180.35,172.35,173.65,173.9,174.94,3101013,5.42489E+13,3025493,0.9756
22-03-2013,175.9,175.9,169.6,173.35,173.1,172.81,979167,1.69211E+13,889457,0.9084
25-03-2013,173,174.95,166.7,170.05,170.25,171.77,649932,1.11639E+13,569589,0.8764
26-03-2013,168,172,167.4,170,170,169.99,3053335,5.19047E+13,3005147,0.9842
28-03-2013,136.6,185,136.6,183,178.95,166.9,338460,5.64875E+12,273003,0.8066
01-04-2013,176.95,184,174.05,180,179.15,182.08,172211,3.13558E+12,139452,0.8098
02-04-2013,177,186,176,183.9,183.9,183.17,202990,3.71809E+12,154568,0.7615
03-04-2013,183.35,184.55,180.5,181,181.35,182.15,890606,1.62222E+13,864458,0.9706
04-04-2013,180,182,176.55,179.5,180,179.99,932854,1.679E+13,893214,0.9575
05-04-2013,180.4,181.95,178.25,181.95,181,180.96,209977,3.79974E+12,194015,0.924
08-04-2013,177.55,183.25,177.2,177.5,177.5,177.65,43044,7.64676E+11,30334,0.7047
09-04-2013,178.45,180.6,173.65,177,177.1,177.62,783067,1.39086E+13,736883,0.941
