Date,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Deliverable Volume,%Deliverble
23-03-2005,455,458.5,383.6,386.9,390.15,419.86,2087710,8.76538E+13,382057,0.183
24-03-2005,392.85,398.5,357.5,371.8,369.2,372.01,1226479,4.56264E+13,232172,0.1893
28-03-2005,376.7,394.05,375,380,378.85,383.64,1235794,4.74105E+13,263415,0.2132
29-03-2005,382.9,383.8,363.25,369.1,368.05,375.26,624072,2.34191E+13,198916,0.3187
30-03-2005,367,371.9,360.05,362.7,362.15,365.13,466349,1.70278E+13,159641,0.3423
31-03-2005,366,375,356.65,362.9,362.5,364.46,1203015,4.38449E+13,249796,0.2076
01-04-2005,366,396.5,361.4,391,391.55,384.84,1056290,4.06503E+13,189696,0.1796
04-04-2005,393,394,372.1,372.7,373.65,382.22,359643,1.37463E+13,127320,0.354
05-04-2005,375.9,377.9,364,367,365.75,370.04,279815,1.03544E+13,79782,0.2851
06-04-2005,367,375.9,367,372.2,371.9,372.6,292625,1.09031E+13,91277,0.3119
07-04-2005,377.4,379,366.2,367.7,367.8,371.88,189476,7.04631E+12,71582,0.3778
08-04-2005,372.5,372.5,360.25,361.05,362.1,364.65,176133,6.42272E+12,81805,0.4645
11-04-2005,361.5,365,357,362.8,361.7,361.02,243663,8.79669E+12,74555,0.306
12-04-2005,361.7,370,360.15,369.75,368.9,365.07,198808,7.25797E+12,86260,0.4339
13-04-2005,373,374.5,362.1,368.1,366.35,367.88,230785,8.49011E+12,107692,0.4666
15-04-2005,363.05,365,351,351.5,354.2,358.09,166222,5.95219E+12,73198,0.4404
18-04-2005,345,361.7,345,356.5,358.35,355.89,729193,2.59514E+13,195699,0.2684
19-04-2005,361,368.5,342,343,346.75,359.85,389801,1.40271E+13,115771,0.297
20-04-2005,350,356.8,346,356.5,355.7,352.7,315994,1.1145E+13,100580,0.3183
21-04-2005,356.9,363.75,351,363,361.1,356.93,254042,9.06761E+12,87563,0.3447
22-04-2005,365,366,355.5,357.5,358.2,358.8,144685,5.19124E+12,41548,0.2872
25-04-2005,359,360,349.5,350.5,350.85,353.37,125042,4.41859E+12,46516,0.372
26-04-2005,352.9,353.4,342.5,343,344.85,348.24,176861,6.15901E+12,80667,0.4561
27-04-2005,345,347,330.15,332.45,333.1,338.72,154354,5.22832E+12,58232,0.3773
28-04-2005,335,336.75,324.4,326.15,327.65,328.65,252313,8.29215E+12,140524,0.5569
29-04-2005,327.65,328,312.5,314.7,315.65,320.68,217807,6.98468E+12,99081,0.4549
02-05-2005,317.95,319.95,303.4,309.5,310.85,311.82,339504,1.05865E+13,158507,0.4669
03-05-2005,310.55,317.5,310.05,311.5,312.45,313.99,302079,9.48513E+12,103678,0.3432
04-05-2005,314.5,319,313,317,316.6,315.82,214613,6.778E+12,99494,0.4636
05-05-2005,319,341.9,318.5,327,327.65,329.68,488220,1.60955E+13,144388,0.2957
06-05-2005,328.5,329.45,318.6,329.45,326.95,324.33,304628,9.88007E+12,123193,0.4044
09-05-2005,326.5,334.4,326,332.3,332.45,331.33,177979,5.89698E+12,73179,0.4112
10-05-2005,334.35,341,329.1,339,337.6,335.89,283073,9.50819E+12,84336,0.2979
11-05-2005,337.6,337.6,327.1,327.1,329.15,330.72,247600,8.18868E+12,152315,0.6152
12-05-2005,302.9,336.75,302.9,336.75,333.85,333.54,122689,4.09217E+12,54413,0.4435
13-05-2005,334,342,328.55,342,337.5,333.42,132683,4.42389E+12,62497,0.471
16-05-2005,341.4,349,336,341,339.15,341.23,129617,4.42286E+12,61375,0.4735
17-05-2005,343.7,343.95,338,338,339.5,340.55,108362,3.69026E+12,66250,0.6114
18-05-2005,340,340,334,340,337.85,336.87,124278,4.18651E+12,73689,0.5929
19-05-2005,341,344,330.3,331.5,332.6,338.09,92609,3.13106E+12,51065,0.5514
20-05-2005,332,335.2,324.05,324.05,326.15,329.84,70974,2.34103E+12,31490,0.4437
23-05-2005,325.1,327.9,316.5,317,317.8,320.31,159007,5.09315E+12,89303,0.5616
24-05-2005,321.3,321.3,307.75,308.9,310.05,314.19,241288,7.58103E+12,161515,0.6694
25-05-2005,311.05,313.75,305,307,306.15,309.42,209570,6.4845E+12,120827,0.5765
26-05-2005,308,309.9,295,296.6,296.65,301.52,252197,7.60418E+12,164451,0.6521
27-05-2005,298,314.7,297,306.25,307.05,306.15,476138,1.45769E+13,238349,0.5006
30-05-2005,313.9,314,307.45,313.7,311.3,310.82,247978,7.70774E+12,138050,0.5567
31-05-2005,312.5,316.4,310,315,314.75,314.37,190775,5.99745E+12,100927,0.529
01-06-2005,317,317,308.6,311.7,309.7,311.8,283295,8.83322E+12,183903,0.6492
02-06-2005,308,308,301.9,304.5,304,304.34,297580,9.05665E+12,194102,0.6523
03-06-2005,305,305.95,299.3,305,304.05,303.54,264240,8.02086E+12,196136,0.7423
04-06-2005,304,306.5,300,300.2,302,303.77,48613,1.47674E+12,26727,0.5498
06-06-2005,302.5,305.75,302.5,304,304.2,304.21,126969,3.86254E+12,100714,0.7932
07-06-2005,304.75,305,297,297.15,298.2,300.7,93381,2.80796E+12,56736,0.6076
08-06-2005,298.5,301.9,287.05,287.9,288.7,293.87,262375,7.71029E+12,171068,0.652
09-06-2005,290,297,290,291.65,291.25,293.53,204708,6.00872E+12,74735,0.3651
10-06-2005,293,295.7,286.1,287,287.2,291.31,148022,4.31204E+12,66037,0.4461
13-06-2005,290.95,291.95,280.1,282,281,284.07,131332,3.73074E+12,64952,0.4946
14-06-2005,284.05,285,277.5,277.5,278.85,281.63,173738,4.89299E+12,85462,0.4919
15-06-2005,279.9,288.9,279.8,286,285.45,285.61,245448,7.01019E+12,72754,0.2964
16-06-2005,285.45,289.45,280,280.45,280.9,285.26,188031,5.36384E+12,68450,0.364
17-06-2005,282.1,282.1,272.65,274,273.4,275.83,133151,3.67276E+12,51323,0.3854
20-06-2005,277,278,270.1,275,274.25,273.71,212120,5.80597E+12,127697,0.602
21-06-2005,280,283.9,272.5,276.8,276.5,277.77,256912,7.13622E+12,118280,0.4604
22-06-2005,276.5,282.25,276.1,277,277.75,278.8,339704,9.47102E+12,186447,0.5489
23-06-2005,279.05,283.4,273,274,275.8,278.46,193468,5.3873E+12,79006,0.4084
24-06-2005,274.65,275.75,270.3,271.4,271.4,272.77,122027,3.32848E+12,66741,0.5469
27-06-2005,273.5,273.5,261.7,262.7,262.5,266.12,131408,3.49698E+12,67295,0.5121
28-06-2005,264,265.1,245.55,247.05,248.9,253.84,233968,5.93908E+12,144413,0.6172
