Date,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Deliverable Volume,%Deliverble
09-07-2003,164.9,170.4,155,164,164.3,165.95,35164283,5.83553E+14,8537695,0.2428
10-07-2003,167,168.7,164.5,167,167,166.74,10464179,1.74482E+14,4363947,0.417
11-07-2003,167.75,174.85,166.25,173.6,173.35,172.45,11740117,2.02462E+14,3014852,0.2568
14-07-2003,174.25,179.25,174.25,178.6,177.95,177.91,5982324,1.06431E+14,1949217,0.3258
15-07-2003,200,200,173,176.3,176.2,176.88,6173689,1.092E+14,1307694,0.2118
16-07-2003,176.45,179.1,175.35,176.9,177.1,177.59,3759085,6.6757E+13,1155442,0.3074
17-07-2003,177.5,178,170.65,170.7,172.2,175.48,3814181,6.69303E+13,1064071,0.279
18-07-2003,165,171.9,160,167.4,167.4,167.66,5375212,9.0119E+13,1427995,0.2657
21-07-2003,169,169.4,163.05,164,164.9,166.67,3315845,5.52665E+13,980379,0.2957
22-07-2003,164,169.15,162.1,168.6,167.25,165.06,4627992,7.63912E+13,1257167,0.2716
23-07-2003,170.5,178,169.8,175.55,174.7,174.54,13262249,2.31476E+14,2844659,0.2145
24-07-2003,175.9,177,172.85,173.65,174.1,174.45,4305936,7.51153E+13,978929,0.2273
25-07-2003,174.4,175,172.1,174,173.65,173.66,2832967,4.9196E+13,660197,0.233
28-07-2003,188,188,175.1,179.25,178.85,178.01,5415867,9.64085E+13,1588110,0.2932
29-07-2003,179.95,182.9,179.1,180.2,180.3,180.93,5229181,9.46096E+13,1063536,0.2034
30-07-2003,181.25,184.75,180.1,180.25,181.1,182.55,4632246,8.45602E+13,1030033,0.2224
31-07-2003,181.7,183.65,179.65,181,180.85,181.87,3562717,6.47936E+13,1074106,0.3015
01-08-2003,182,189,178.75,188.4,187.15,184.36,8027285,1.47988E+14,2063463,0.2571
04-08-2003,187.85,198.5,185,197.5,197.6,194.65,9982429,1.94308E+14,2693583,0.2698
05-08-2003,199,203.45,192.85,193.85,193.6,198.15,9651327,1.91243E+14,1620470,0.1679
06-08-2003,191.5,197.5,189.85,191.75,191.6,193.45,7451054,1.44143E+14,967268,0.1298
07-08-2003,193.5,196,192.25,195.7,195.4,194.27,3223676,6.26276E+13,385620,0.1196
08-08-2003,197,198.9,196,197.5,197.15,197.37,2530289,4.99393E+13,437784,0.173
11-08-2003,198.1,203.8,196,201.8,202.2,201.71,5651311,1.13993E+14,1265689,0.224
12-08-2003,203.8,212,203.5,210.8,210.45,207.77,8215213,1.70688E+14,2203451,0.2682
13-08-2003,213,219.5,212,218.5,217.8,215.87,7839204,1.69225E+14,1901575,0.2426
14-08-2003,223,224.4,215,217.75,216.55,220.36,6298655,1.388E+14,1355058,0.2151
18-08-2003,218.1,221,215.4,218.25,216.9,217.99,3382031,7.37246E+13,611465,0.1808
19-08-2003,219.85,219.9,215,215.3,215.65,216.41,3080091,6.66577E+13,1069345,0.3472
20-08-2003,217.4,226.45,217.3,226,225,222.96,6049174,1.3487E+14,1340738,0.2216
21-08-2003,227,228.9,223.3,228.1,227.95,226.97,4012069,9.10626E+13,1079196,0.269
22-08-2003,228.05,232.8,225.9,229.2,229.3,229.44,4436016,1.01782E+14,914376,0.2061
25-08-2003,230,231.45,216.1,220.5,221.05,222.47,4827198,1.07392E+14,1391187,0.2882
26-08-2003,217,235,217,234.75,232.45,228.74,3968069,9.07643E+13,966245,0.2435
27-08-2003,235.4,237.6,233,233.5,234.3,235.26,2267859,5.3354E+13,493876,0.2178
28-08-2003,235.75,235.75,226,228.1,228.05,229.17,3554363,8.1454E+13,1088383,0.3062
29-08-2003,232.05,238.5,231.5,235.2,235.4,235.52,3212067,7.56495E+13,949924,0.2957
01-09-2003,236.4,237,231.7,237,235.55,234.78,2478236,5.81844E+13,747252,0.3015
02-09-2003,234.85,234.85,224.1,226.1,226.55,226.77,3975812,9.01602E+13,1401594,0.3525
03-09-2003,227.1,231.75,221,222,222.8,226.33,3945233,8.92909E+13,780046,0.1977
04-09-2003,223,225.7,218.45,221.3,221.55,221.67,3682478,8.16298E+13,1245787,0.3383
05-09-2003,223.9,230,222.4,229.3,229.3,225.96,2971415,6.71427E+13,976834,0.3287
08-09-2003,231,233.9,227.15,227.5,228.75,230.58,1817991,4.19188E+13,515970,0.2838
09-09-2003,230,235,225.8,228,228.2,227.95,2034401,4.63734E+13,948072,0.466
10-09-2003,227.75,230.4,225.8,227.25,227.8,227.91,1476667,3.36546E+13,269036,0.1822
11-09-2003,230,230.1,225,225.3,225.65,227.66,1092801,2.48786E+13,304907,0.279
12-09-2003,228,228.5,219.1,221,220.35,222.31,2496597,5.55022E+13,1036154,0.415
15-09-2003,219,221.35,207.1,207.8,208.35,211.05,3469640,7.32254E+13,1373850,0.396
16-09-2003,207,210,195.1,208,208.5,203.06,4004037,8.13048E+13,1185137,0.296
17-09-2003,212.5,219.5,209.25,215,216.05,214.52,3800473,8.15269E+13,1218205,0.3205
18-09-2003,215.9,215.9,203.4,204,205.6,209.1,2813556,5.88314E+13,905859,0.322
19-09-2003,207,210.4,198.8,207,205.75,204.62,3442717,7.04455E+13,909039,0.264
22-09-2003,206,212.8,205.75,212,210.7,209.7,2575343,5.40049E+13,724317,0.2813
23-09-2003,210.3,214.4,208.2,214.4,213.15,210.92,1766451,3.72574E+13,321780,0.1822
24-09-2003,216,221,213.1,219.5,219.95,217.39,2133208,4.63744E+13,671569,0.3148
25-09-2003,220.1,220.1,211.5,214.05,213.7,216.23,1916650,4.1444E+13,761539,0.3973
26-09-2003,214.4,217.85,213.1,214.5,214.8,215.45,2531520,5.45406E+13,1143573,0.4517
29-09-2003,216,229.45,215.15,228,227.2,223.33,3711837,8.28976E+13,1159769,0.3125
30-09-2003,230,233.35,228,232.3,232.55,231.32,3594810,8.3155E+13,1057727,0.2942
01-10-2003,232,233,227.1,228.1,228.45,229.6,2402620,5.51653E+13,611657,0.2546
03-10-2003,229,235,228.9,234.5,234.4,232.34,2511914,5.83614E+13,957263,0.3811
06-10-2003,236.6,242.35,235,241.5,241.3,240.02,3094324,7.42691E+13,973080,0.3145
07-10-2003,244,246.4,236.05,237.25,237.55,242.21,2440562,5.91117E+13,461569,0.1891
08-10-2003,238.75,245,237.1,241.25,240.25,241.01,1859277,4.48109E+13,302938,0.1629
09-10-2003,240.85,259.75,240.85,259.5,258.05,253.48,6993550,1.7727E+14,1342498,0.192
10-10-2003,260.65,272.4,259.8,271.75,269.1,265.45,3707816,9.84225E+13,736335,0.1986
13-10-2003,273,280.35,272,276,276.1,277.05,3693070,1.02316E+14,539416,0.1461
14-10-2003,278,278.6,262.8,266,264.9,269.57,5123854,1.38126E+14,936706,0.1828
15-10-2003,264.9,272.7,261.3,271.7,270.5,268.63,3478259,9.3436E+13,414755,0.1192
16-10-2003,273.7,281.3,272.5,273.5,276.2,277.76,4100489,1.13895E+14,605642,0.1477
17-10-2003,280.55,286.4,275.45,281.1,282.3,282.56,4126840,1.1661E+14,615007,0.149
20-10-2003,282,284.8,273.3,274,274.75,279.12,2192534,6.11989E+13,543713,0.248
21-10-2003,276.1,279,257,263,261.25,270.7,3223848,8.72691E+13,671319,0.2082
22-10-2003,263.95,279,260.55,264.5,263.7,265.52,2569557,6.82276E+13,391100,0.1522
23-10-2003,264.5,273.25,261.65,264,263.8,268.26,3114998,8.35628E+13,403892,0.1297
24-10-2003,265,291,260,290.15,285,275.12,5225375,1.4376E+14,722327,0.1382
25-10-2003,294.9,297.7,291.5,293.6,293.75,294.51,1888755,5.56256E+13,,
27-10-2003,294.9,298,281.6,282.9,283.2,290.7,5831782,1.69532E+14,886350,0.1148
28-10-2003,283,291.9,277.8,289.9,286.3,287.45,5640636,1.6214E+14,530650,0.0941
29-10-2003,291.45,308.3,286.2,306.2,305,296.45,7996572,2.37061E+14,1058162,0.1323
30-10-2003,306.5,310.7,302,305.1,305.9,306.66,7108567,2.17992E+14,910953,0.1281
31-10-2003,307.8,324.2,306.5,323.8,322.3,316.63,9924397,3.14233E+14,670273,0.0675
